name	x	y	z	size	group	type
G1	-54.282979	-80.812469	6.236830	n/a	G	grid
G2	-57.427867	-75.434912	1.058669	n/a	G	grid
G3	-60.996581	-67.836429	-4.677291	n/a	G	grid
G4	-64.658181	-57.778258	-10.900519	n/a	G	grid
G5	-66.162882	-43.820474	-15.949831	n/a	G	grid
G6	-67.183076	-29.406771	-20.732443	n/a	G	grid
G7	-66.240884	-14.988013	-23.881383	n/a	G	grid
G8	-62.893664	-2.541169	-24.649058	n/a	G	grid
G9	-49.959301	-83.221068	16.198150	n/a	G	grid
G10	-54.342764	-79.509597	11.878973	n/a	G	grid
G11	-59.053637	-72.072108	6.630175	n/a	G	grid
G12	-64.821238	-62.174100	0.176647	n/a	G	grid
G13	-68.558362	-46.418953	-6.249453	n/a	G	grid
G14	-70.004372	-28.040440	-11.779723	n/a	G	grid
G15	-67.516632	-10.145097	-14.618378	n/a	G	grid
G16	-62.196997	3.370062	-14.644407	n/a	G	grid
G17	-45.120203	-85.266583	27.838771	n/a	G	grid
G18	-49.618578	-81.464414	25.238848	n/a	G	grid
G19	-55.437494	-75.255289	21.676243	n/a	G	grid
G20	-62.093004	-64.332138	16.679578	n/a	G	grid
G21	-67.977718	-46.979630	10.292954	n/a	G	grid
G22	-70.103477	-24.648892	3.810700	n/a	G	grid
G23	-66.843605	-3.793682	-0.617496	n/a	G	grid
G24	-61.239676	10.565181	-2.701374	n/a	G	grid
G25	-38.996755	-83.627277	39.992516	n/a	G	grid
G26	-43.403816	-80.826003	40.080265	n/a	G	grid
G27	-49.251699	-75.084924	39.593114	n/a	G	grid
G28	-56.257435	-63.582811	37.587292	n/a	G	grid
G29	-64.750476	-45.793904	33.967475	n/a	G	grid
G30	-68.576954	-19.357918	26.614379	n/a	G	grid
G31	-64.265775	4.179006	18.326254	n/a	G	grid
G32	-59.795492	19.642129	12.488910	n/a	G	grid
G33	-32.219067	-77.230916	50.177353	n/a	G	grid
G34	-35.429979	-72.573168	51.865235	n/a	G	grid
G35	-39.816801	-66.022981	54.096566	n/a	G	grid
G36	-46.135179	-56.136694	57.118488	n/a	G	grid
G37	-54.269549	-38.553614	58.909509	n/a	G	grid
G38	-57.099157	-11.479223	50.463831	n/a	G	grid
G39	-56.263133	11.254268	39.657569	n/a	G	grid
G40	-53.484014	25.728454	30.175140	n/a	G	grid
G41	-26.002728	-72.030472	59.881799	n/a	G	grid
G42	-28.458949	-66.729647	63.428114	n/a	G	grid
G43	-31.679252	-59.014954	67.715046	n/a	G	grid
G44	-35.700873	-46.088191	70.722724	n/a	G	grid
G45	-40.077454	-27.275224	70.489598	n/a	G	grid
G46	-42.795924	-5.407669	62.703777	n/a	G	grid
G47	-44.778344	13.912751	54.378883	n/a	G	grid
G48	-45.102856	27.644135	44.821702	n/a	G	grid
G49	-20.164893	-66.440168	68.039387	n/a	G	grid
G50	-22.069574	-59.251515	71.597385	n/a	G	grid
G51	-24.320339	-50.238622	76.214804	n/a	G	grid
G52	-27.137878	-35.949453	76.607081	n/a	G	grid
G53	-30.290333	-19.303021	75.949709	n/a	G	grid
G54	-33.144549	-1.574752	69.538702	n/a	G	grid
G55	-35.976609	15.185620	64.041363	n/a	G	grid
G56	-37.513330	26.656968	54.313139	n/a	G	grid
G57	-14.888807	-60.311041	73.780679	n/a	G	grid
G58	-16.718065	-51.689663	76.561608	n/a	G	grid
G59	-18.529082	-41.894314	80.384436	n/a	G	grid
G60	-20.913958	-28.837183	81.389716	n/a	G	grid
G61	-23.799536	-13.784585	76.729808	n/a	G	grid
G62	-26.621952	0.946277	73.497814	n/a	G	grid
G63	-29.461688	14.744804	68.263313	n/a	G	grid
G64	-31.872906	24.516862	59.616758	n/a	G	grid
F1	-9.686996	75.666280	1.269378	n/a	F	grid
F2	-14.505607	75.361444	0.602286	n/a	F	grid
F3	-20.637298	73.684370	0.032778	n/a	F	grid
F4	-28.146665	69.632874	-0.283754	n/a	F	grid
F5	-37.339858	66.483849	-0.993714	n/a	F	grid
F6	-46.185404	53.284386	0.160436	n/a	F	grid
F7	-53.692660	37.933628	1.871714	n/a	F	grid
F8	-58.860756	22.166903	3.943150	n/a	F	grid
F9	-8.609522	74.888289	-11.827014	n/a	F	grid
F10	-14.155829	71.474386	-12.664352	n/a	F	grid
F11	-20.307821	68.726725	-14.071315	n/a	F	grid
F12	-27.537167	64.043712	-15.195084	n/a	F	grid
F13	-35.557344	56.298939	-15.463803	n/a	F	grid
F14	-44.440390	48.398158	-16.013710	n/a	F	grid
F15	-50.625510	32.924286	-12.499214	n/a	F	grid
F16	-55.957721	19.990342	-9.548068	n/a	F	grid
T1	-26.241384	9.892940	-48.830168	n/a	T	strip
T2	-37.598517	2.914099	-51.249734	n/a	T	strip
T3	-46.062347	-2.992313	-48.722516	n/a	T	strip
T4	-53.840303	-14.142001	-41.512194	n/a	T	strip
T5	-57.262989	-25.144428	-34.188441	n/a	T	strip
T6	-61.043810	-30.732320	-28.215254	n/a	T	strip
T7	-64.518396	-41.520299	-22.149034	n/a	T	strip
T8	-65.325233	-51.963012	-15.154468	n/a	T	strip
P1	1.515711	-90.360999	-8.404553	n/a	P	strip
P2	-1.800280	-98.247252	-5.323979	n/a	P	strip
P3	-6.938113	-102.330126	-0.691174	n/a	P	strip
P4	-12.968699	-103.500644	4.684188	n/a	P	strip
P5	-19.234783	-102.524931	10.231672	n/a	P	strip
P6	-25.314867	-98.429903	15.560209	n/a	P	strip
P7	-30.762252	-94.097776	20.322819	n/a	P	strip
P8	-35.737193	-91.123708	24.689311	n/a	P	strip
PP1	-28.941791	-50.094262	18.250297	n/a	DPP	depth
PP2	-30.658155	-53.171266	22.899402	n/a	DPP	depth
PP3	-32.374519	-56.248270	27.548506	n/a	DPP	depth
PP4	-34.090883	-59.325274	32.197610	n/a	DPP	depth
PP5	-35.807248	-62.402278	36.846715	n/a	DPP	depth
PP6	-37.523612	-65.479282	41.495819	n/a	DPP	depth
