name	x	y	z	size	type
A1	-6.64984462011227	-74.4136510247352	-4.75404668781881	n/a	ECOG
A2	-2.49183597800716	-55.6265784270011	12.9134773219192	n/a	ECOG
A3	0.510040707090609	-36.7936439373349	19.9311097490707	n/a	ECOG
A4	-1.99940882009148	-41.3085600884969	29.4474217421256	n/a	ECOG
A5	-3.19564132578421	-37.3983634359885	41.1917048614297	n/a	ECOG
A6	-3.23258617712347	-32.0040183982593	51.0000255866339	n/a	ECOG
A7	-4.38554707413552	-27.2780221267035	54.2949670778825	n/a	ECOG
A8	-3.03718824274588	-18.1788835803134	60.1167334588582	n/a	ECOG
A9	5.9190721680654	-78.5450531057063	5.86607079165019	n/a	ECOG
A10	3.19293010642865	-57.8805100357772	15.6524753052116	n/a	ECOG
A11	4.62512905517681	-49.8476972515951	19.2109472453994	n/a	ECOG
A12	6.42664226557584	-43.7139176080691	32.9114735302509	n/a	ECOG
A13	7.48123704363036	-36.9806251308262	36.8287102552068	n/a	ECOG
A14	5.26183930835468	-31.3320073722993	50.9804397301386	n/a	ECOG
A15	4.81047659424327	-21.0679364146802	52.2810136142193	n/a	ECOG
A16	4.23039454645759	-19.1825673948198	60.5600861747793	n/a	ECOG
A17	49.1876116298189	-52.5761269409385	-15.089401460654	n/a	ECOG
A18	29.6828433939275	-36.8009895004682	-23.0295356404861	n/a	ECOG
A19	35.5132963654179	-28.7133155093097	-18.3529293245917	n/a	ECOG
A20	25.4571765182802	-24.9271151478659	-25.9471353844508	n/a	ECOG
A21	23.0240398573395	-14.6848004677152	-31.3285611735094	n/a	ECOG
A22	19.6919336472582	-4.37612245232148	-32.7780715622358	n/a	ECOG
A23	25.2378322934144	4.80460061047886	-40.3479736673752	n/a	ECOG
A24	25.4134335831508	13.8131105818204	-38.5417721959569	n/a	ECOG
A25	32.7125603144601	20.8601372802018	-33.0824892888933	n/a	ECOG
A26	42.3490347958251	21.5319001121009	-27.403838903952	n/a	ECOG
A27	19.7334552444868	-19.946246381414	-25.0946782182527	n/a	ECOG
A28	29.4796435234531	-19.4219499048771	-28.8586457642933	n/a	ECOG
A29	41.5064178005961	-7.77729725363671	-38.6975510693237	n/a	ECOG
A30	49.6630594240739	-9.23633684077669	-39.559795421882	n/a	ECOG
A31	53.3455020136481	-10.9023403655313	-31.3783117703943	n/a	ECOG
A32	52.1646839935508	-12.0636667582263	-27.0804091984794	n/a	ECOG
A33	6.72875774002715	-57.546601972644	4.81068890797062	n/a	ECOG
A34	11.0940870347439	-62.3309242786177	-1.93239035158752	n/a	ECOG
A35	26.2644832502275	-60.5680721410969	-14.4952190367167	n/a	ECOG
A36	43.4168453882205	-52.1178960582554	-19.2050996172348	n/a	ECOG
A37	58.8375649778635	-51.4089814294905	-17.0643975497492	n/a	ECOG
A41	10.7380325125518	-99.1014200504994	9.63234926445488	n/a	ECOG
A42	17.891412627937	-99.9406610578499	5.79088309391483	n/a	ECOG
A43	30.0227662156892	-90.7315981154474	-0.339995445440923	n/a	ECOG
A44	33.6765577687513	-87.4227435272012	-1.30396631929911	n/a	ECOG
