name	x	y	z	size	group	type
LAH1	-20.280439	-17.275241	-18.995967	n/a	LAH	depth
LAH2	-25.041829	-14.081043	-19.371539	n/a	LAH	depth
LAH3	-29.803219	-10.886844	-19.747111	n/a	LAH	depth
LAH4	-34.564609	-7.692646	-20.122684	n/a	LAH	depth
LAH5	-39.325999	-4.498448	-20.498256	n/a	LAH	depth
LAH6	-44.087388	-1.304250	-20.873828	n/a	LAH	depth
LAH7	-48.848778	1.889948	-21.249400	n/a	LAH	depth
LAH8	-53.610168	5.084147	-21.624973	n/a	LAH	depth
LI1	-35.094886	6.466353	-1.362962	n/a	LI	depth
LI2	-34.211458	2.166775	2.324696	n/a	LI	depth
LI3	-33.328030	-2.132803	6.012354	n/a	LI	depth
LI4	-32.444602	-6.432380	9.700012	n/a	LI	depth
LI5	-31.561174	-10.731958	13.387670	n/a	LI	depth
LI6	-30.677746	-15.031536	17.075327	n/a	LI	depth
LI7	-29.794318	-19.331114	20.762985	n/a	LI	depth
LI8	-28.910889	-23.630692	24.450643	n/a	LI	depth
LI9	-28.027461	-27.930270	28.138301	n/a	LI	depth
LI10	-27.144033	-32.229848	31.825958	n/a	LI	depth
LI11	-26.260605	-36.529426	35.513616	n/a	LI	depth
LI12	-25.377177	-40.829003	39.201274	n/a	LI	depth
LIFG1	-7.344355	27.912534	-10.296870	n/a	LIFG	depth
LIFG2	-13.030576	27.883561	-9.307426	n/a	LIFG	depth
LIFG3	-18.716798	27.854588	-8.317982	n/a	LIFG	depth
LIFG4	-24.403020	27.825614	-7.328538	n/a	LIFG	depth
LIFG5	-30.089242	27.796641	-6.339094	n/a	LIFG	depth
LIFG6	-35.775464	27.767667	-5.349650	n/a	LIFG	depth
LIFG7	-41.461686	27.738694	-4.360206	n/a	LIFG	depth
LIFG8	-47.147908	27.709720	-3.370762	n/a	LIFG	depth
LIFG9	-52.834130	27.680747	-2.381318	n/a	LIFG	depth
LIFG10	-58.520351	27.651774	-1.391874	n/a	LIFG	depth
LPH1	-30.167340	-28.962913	-7.154289	n/a	LPH	depth
LPH2	-35.747112	-30.478258	-7.170497	n/a	LPH	depth
LPH3	-41.326885	-31.993604	-7.186704	n/a	LPH	depth
LPH4	-46.906657	-33.508949	-7.202912	n/a	LPH	depth
LPH5	-52.486429	-35.024294	-7.219119	n/a	LPH	depth
LPH6	-58.066201	-36.539640	-7.235327	n/a	LPH	depth
LPH7	-63.645973	-38.054985	-7.251534	n/a	LPH	depth
LPH8	-69.225745	-39.570331	-7.267741	n/a	LPH	depth
RAH1	18.636437	-13.802240	-20.018472	n/a	RAH	depth
RAH2	23.557955	-10.792758	-20.556361	n/a	RAH	depth
RAH3	28.479473	-7.783275	-21.094249	n/a	RAH	depth
RAH4	33.400991	-4.773793	-21.632138	n/a	RAH	depth
RAH5	38.322509	-1.764311	-22.170027	n/a	RAH	depth
RAH6	43.244027	1.245171	-22.707916	n/a	RAH	depth
RAH7	48.165544	4.254654	-23.245805	n/a	RAH	depth
RAH8	53.087062	7.264136	-23.783693	n/a	RAH	depth
RAH9	58.008580	10.273618	-24.321582	n/a	RAH	depth
RAH10	62.930098	13.283101	-24.859471	n/a	RAH	depth
RI1	43.030360	13.889955	-9.365430	n/a	RI	depth
RI2	42.035001	9.787301	-5.458019	n/a	RI	depth
RI3	41.039643	5.684647	-1.550608	n/a	RI	depth
RI4	40.044284	1.581993	2.356802	n/a	RI	depth
RI5	39.048926	-2.520660	6.264213	n/a	RI	depth
RI6	38.053567	-6.623314	10.171624	n/a	RI	depth
RI7	37.058209	-10.725968	14.079035	n/a	RI	depth
RI8	36.062850	-14.828622	17.986445	n/a	RI	depth
RI9	35.067491	-18.931276	21.893856	n/a	RI	depth
RI10	34.072133	-23.033930	25.801267	n/a	RI	depth
RI11	33.076774	-27.136584	29.708678	n/a	RI	depth
RI12	32.081416	-31.239238	33.616088	n/a	RI	depth
RIFG1	6.216338	31.652579	-8.529324	n/a	RIFG	depth
RIFG2	11.958748	31.936169	-8.069023	n/a	RIFG	depth
RIFG3	17.701158	32.219758	-7.608722	n/a	RIFG	depth
RIFG4	23.443569	32.503348	-7.148422	n/a	RIFG	depth
RIFG5	29.185979	32.786937	-6.688121	n/a	RIFG	depth
RIFG6	34.928389	33.070527	-6.227821	n/a	RIFG	depth
RIFG7	40.670799	33.354117	-5.767520	n/a	RIFG	depth
RIFG8	46.413209	33.637706	-5.307220	n/a	RIFG	depth
RIFG9	52.155620	33.921296	-4.846919	n/a	RIFG	depth
RIFG10	57.898030	34.204886	-4.386618	n/a	RIFG	depth
