name	x	y	z	size	group	type
G1	-57.169677	-57.361923	14.488480	n/a	G	grid
G2	-60.328576	-48.218354	10.183610	n/a	G	grid
G3	-64.514573	-39.351055	6.769055	n/a	G	grid
G4	-64.525978	-30.271852	2.795878	n/a	G	grid
G5	-63.628185	-20.537622	-1.668803	n/a	G	grid
G6	-60.899079	-11.774413	-4.860687	n/a	G	grid
G7	-56.247576	-3.136244	-8.942550	n/a	G	grid
G8	-51.982124	4.541737	-12.527981	n/a	G	grid
G9	-59.009495	-53.948854	24.831539	n/a	G	grid
G10	-60.019704	-43.637542	20.805453	n/a	G	grid
G11	-62.131218	-35.614467	16.965260	n/a	G	grid
G12	-64.075383	-26.376333	13.880099	n/a	G	grid
G13	-62.536787	-16.669920	9.398286	n/a	G	grid
G14	-59.826426	-8.943914	5.855737	n/a	G	grid
G15	-56.951883	0.167323	0.953498	n/a	G	grid
G16	-51.735355	9.085074	-3.163838	n/a	G	grid
G17	-57.140550	-50.105165	35.877187	n/a	G	grid
G18	-58.666425	-40.550794	31.917081	n/a	G	grid
G19	-60.758269	-31.374506	28.419756	n/a	G	grid
G20	-61.823016	-21.921948	24.032115	n/a	G	grid
G21	-61.812953	-12.777736	20.895315	n/a	G	grid
G22	-58.684619	-3.421835	16.810536	n/a	G	grid
G23	-56.634074	5.868843	11.500022	n/a	G	grid
G24	-52.469090	14.071746	7.461731	n/a	G	grid
G25	-56.070619	-46.302472	46.107899	n/a	G	grid
G26	-56.454420	-36.471019	42.516065	n/a	G	grid
G27	-57.615767	-26.615554	38.945672	n/a	G	grid
G28	-59.184631	-17.785285	35.035334	n/a	G	grid
G29	-58.801620	-8.010349	31.003871	n/a	G	grid
G30	-57.346851	0.347043	27.035573	n/a	G	grid
G31	-55.274838	9.702730	22.561436	n/a	G	grid
G32	-54.266901	19.399268	17.254647	n/a	G	grid
G33	-50.000310	-42.818383	54.108301	n/a	G	grid
G34	-51.536973	-33.890601	51.452530	n/a	G	grid
G35	-51.809214	-24.030492	48.696838	n/a	G	grid
G36	-53.908813	-14.513139	44.756218	n/a	G	grid
G37	-52.877610	-5.839796	40.779315	n/a	G	grid
G38	-52.904526	3.921537	35.919547	n/a	G	grid
G39	-51.875121	13.683084	31.449136	n/a	G	grid
G40	-48.768255	22.973976	26.527979	n/a	G	grid
G41	-42.415123	-40.484531	60.878780	n/a	G	grid
G42	-44.321813	-30.507540	58.584394	n/a	G	grid
G43	-44.246819	-21.332513	57.126342	n/a	G	grid
G44	-44.226022	-12.155797	54.407731	n/a	G	grid
G45	-45.824940	-2.183952	49.717983	n/a	G	grid
G46	-44.282832	6.993299	44.713301	n/a	G	grid
G47	-43.273097	15.601633	39.900021	n/a	G	grid
G48	-43.621615	24.138804	34.290401	n/a	G	grid
G49	-32.510754	-37.283028	66.681035	n/a	G	grid
G50	-35.559572	-28.177202	65.740900	n/a	G	grid
G51	-36.685994	-19.196416	63.910786	n/a	G	grid
G52	-36.387563	-10.307438	61.098986	n/a	G	grid
G53	-38.000084	1.355084	58.318945	n/a	G	grid
G54	-36.720438	9.691278	53.142804	n/a	G	grid
G55	-35.732171	18.234603	47.493147	n/a	G	grid
G56	-33.701296	26.372068	41.839764	n/a	G	grid
G57	-23.067807	-35.750941	72.608771	n/a	G	grid
G58	-26.832257	-24.972184	71.157128	n/a	G	grid
G59	-29.492302	-15.878365	70.206272	n/a	G	grid
G60	-32.943350	-5.820844	68.372957	n/a	G	grid
G61	-32.168843	2.969892	64.816486	n/a	G	grid
G62	-30.249545	11.917960	59.953491	n/a	G	grid
G63	-27.173084	20.023135	54.271276	n/a	G	grid
G64	-27.337678	28.840993	47.327723	n/a	G	grid
F1	-1.132858	51.167274	-4.814246	n/a	F	strip
F2	-3.263414	60.080562	-7.872126	n/a	F	strip
F3	-10.317879	65.027624	-11.780476	n/a	F	strip
F4	-20.039926	66.299974	-11.998180	n/a	F	strip
F5	-29.461285	62.133269	-11.860538	n/a	F	strip
F6	-37.604087	56.825784	-10.422345	n/a	F	strip
F7	-43.472856	47.088918	-7.913553	n/a	F	strip
F8	-46.990242	38.317217	-5.118417	n/a	F	strip
F9	-49.713804	30.249344	-1.973265	n/a	F	strip
F10	-51.519636	20.741720	0.979820	n/a	F	strip
AT1	-30.609602	15.911831	-40.047300	n/a	AT	strip
AT2	-38.952679	13.046516	-37.739665	n/a	AT	strip
AT3	-46.796895	6.902154	-32.047438	n/a	AT	strip
AT4	-52.984744	-0.650788	-27.572027	n/a	AT	strip
AT5	-59.684751	-5.813859	-22.400120	n/a	AT	strip
AT6	-64.864918	-12.798753	-17.571939	n/a	AT	strip
AT7	-64.824290	-22.154012	-12.319088	n/a	AT	strip
AT8	-64.784787	-30.067296	-7.669732	n/a	AT	strip
BT1	-21.123902	10.947406	-35.470373	n/a	BT	strip
BT2	-24.079259	3.566802	-40.490478	n/a	BT	strip
BT3	-31.254047	-2.635325	-44.910640	n/a	BT	strip
BT4	-38.785487	-7.888715	-48.393681	n/a	BT	strip
BT5	-47.335531	-13.357266	-45.819296	n/a	BT	strip
BT6	-54.982024	-16.648364	-39.061964	n/a	BT	strip
BT7	-62.127063	-19.571815	-31.082067	n/a	BT	strip
BT8	-65.104003	-24.170863	-22.763486	n/a	BT	strip
MT1	-32.360413	-26.132228	-10.025833	n/a	MT	depth
MT2	-37.464712	-26.284546	-11.235241	n/a	MT	depth
MT3	-42.569012	-26.436864	-12.444650	n/a	MT	depth
MT4	-47.673312	-26.589183	-13.654059	n/a	MT	depth
MT5	-52.777611	-26.741501	-14.863467	n/a	MT	depth
MT6	-57.881911	-26.893819	-16.072876	n/a	MT	depth
BTO1	-12.177832	-100.558069	-11.296774	n/a	BTO	strip
BTO2	-22.212508	-100.277365	-11.018115	n/a	BTO	strip
BTO3	-32.236059	-96.428237	-8.715948	n/a	BTO	strip
BTO4	-39.877253	-89.948741	-5.529150	n/a	BTO	strip
BTO5	-45.960376	-83.143700	-2.410340	n/a	BTO	strip
BTO6	-51.257018	-75.241964	0.611709	n/a	BTO	strip
BTO7	-54.571989	-66.192130	4.629536	n/a	BTO	strip
BTO8	-58.368294	-58.260824	8.736541	n/a	BTO	strip
PT1	-33.359304	-48.508632	0.553627	n/a	PT	depth
PT2	-38.649618	-48.329349	0.902209	n/a	PT	depth
PT3	-43.840414	-48.190935	0.766354	n/a	PT	depth
PT4	-49.038365	-48.074190	0.351707	n/a	PT	depth
PT5	-54.005759	-48.052128	-1.185258	n/a	PT	depth
PT6	-59.231889	-47.040567	-3.423893	n/a	PT	depth
O1	1.053798	-53.515133	39.468148	n/a	O	strip
O2	0.221508	-62.011639	46.753343	n/a	O	strip
O3	-2.783742	-68.460906	53.584601	n/a	O	strip
O4	-10.483905	-71.914527	58.250989	n/a	O	strip
O5	-20.634939	-71.732381	56.856962	n/a	O	strip
O6	-30.385928	-69.317316	55.035321	n/a	O	strip
O7	-39.802167	-65.643147	50.542745	n/a	O	strip
O8	-48.090291	-62.786904	44.940095	n/a	O	strip
