name	x	y	z	size	type
A1	-0.673013593053958	-87.5293845567127	16.1386868883574	n/a	ECOG
A2	-2.99828522501235	-81.2064956613835	9.214073504025	n/a	ECOG
A3	-1.44936055248202	-71.5360572328504	16.8767474932959	n/a	ECOG
A4	-1.94741249250986	-63.1518126775754	20.983415479788	n/a	ECOG
A5	-4.40017969816323	-49.6165034377335	30.1546545873552	n/a	ECOG
A6	-2.30455482546115	-38.6366957594084	31.2286680234359	n/a	ECOG
A7	-2.39645580547368	-33.4066866893896	38.8493808963955	n/a	ECOG
A8	-3.58497805991429	-28.4448021568708	39.2456359428047	n/a	ECOG
A9	-3.43089498725513	-19.112524818574	49.4415133457056	n/a	ECOG
A10	-2.92840680516006	-7.96487375661206	51.3138364548651	n/a	ECOG
A11	-11.3159800884708	32.39357419366	25.2336454621897	n/a	ECOG
A12	-9.40874148135217	30.1936139881211	29.4709330334759	n/a	ECOG
A13	-3.54210809053191	31.2995880293366	47.7104069498561	n/a	ECOG
A14	-3.89908681163852	30.8185874196507	55.0778464477334	n/a	ECOG
A15	-7.18079100567222	26.3525892564914	59.6686718345488	n/a	ECOG
A16	-9.54659750077549	23.4021003492727	59.9807186997177	n/a	ECOG
A17	-10.0489832407676	40.0465324261044	-24.4640943642431	n/a	ECOG
A18	-22.5208808514896	37.1776031801365	-16.2239469457793	n/a	ECOG
A19	-31.9675758041791	26.0090741189534	-19.8115490887789	n/a	ECOG
A20	-36.7159084460879	26.307760643159	-17.9329356212744	n/a	ECOG
A21	-46.4183263996303	15.5912664269441	2.4880751532933	n/a	ECOG
A22	-18.8667014979676	44.8815174230793	-15.5432182824052	n/a	ECOG
A23	-23.4954543849766	39.6191735952493	-14.8377754217826	n/a	ECOG
A24	-33.2463435256241	42.3636868931303	-10.7504115197483	n/a	ECOG
A25	-41.9563552498017	32.5720428825225	-14.1181703402692	n/a	ECOG
A26	-51.9288942733867	28.8349521284935	3.80859551558196	n/a	ECOG
A27	-38.6728580577262	-32.3901141096282	-23.690129776769	n/a	ECOG
A28	-38.338343256752	-29.4092143154784	-24.4821898895622	n/a	ECOG
A29	-23.4445031658915	-10.7387403903992	-33.8221113691394	n/a	ECOG
A30	-20.9071622419677	-1.29558973887657	-34.0709848416732	n/a	ECOG
A31	-24.169591294359	10.6721011247811	-38.0822955585966	n/a	ECOG
A32	-29.7465710569548	13.3620049284609	-39.2652363924372	n/a	ECOG
A33	-30.4047202603129	17.3880884322544	-37.1011807320102	n/a	ECOG
A35	-36.4552911233582	-6.82284682871611	-39.1878660061215	n/a	ECOG
A36	-35.1661476032846	-6.43955468068512	-42.0665815443001	n/a	ECOG
A37	-29.9224512125822	-0.218277524310733	-36.0466777596698	n/a	ECOG
A38	-26.4858652588505	2.30496736651149	-39.9919855309813	n/a	ECOG
A39	-28.1586519279736	3.08121271032532	-41.9924839365402	n/a	ECOG
A40	-30.954412574256	-0.518887578779261	-44.0145627860255	n/a	ECOG
A41	-17.2741572623285	-28.6714798805698	-16.7329116434059	n/a	ECOG
A42	-28.0356786075054	-37.3627501033297	-22.7024047729953	n/a	ECOG
A43	-37.0300083851654	-35.2276228514294	-24.5918694662568	n/a	ECOG
A44	-52.7513938980615	-24.8428229594391	-29.0202787872929	n/a	ECOG
A45	-54.9470785025782	-23.0855057610761	-29.8983104872223	n/a	ECOG
A46	-64.203623701262	-23.6726036756631	-14.355358363158	n/a	ECOG
A47	-1.84294311935262	-73.370499368962	0.791448340156184	n/a	ECOG
A48	-8.94157567328255	-69.5485023626545	-3.5325168084722	n/a	ECOG
A49	-17.252578651185	-63.2770142318418	-5.0256252258816	n/a	ECOG
A50	-27.2609160775306	-55.4604172341776	-16.6029625787031	n/a	ECOG
A51	-37.4750580704452	-50.6830740423011	-20.9433522902879	n/a	ECOG
A52	-38.3848202174142	-46.0267008544615	-22.3944521385551	n/a	ECOG
A53	-54.5681136393707	-34.3556643953259	-25.5321858854102	n/a	ECOG
A54	-56.6864420538781	-31.5534768021347	-21.053076081628	n/a	ECOG
A55	-1.9397905083022	-87.6557890872827	-4.8959485972197	n/a	ECOG
A56	-1.62362700699221	-86.8941384641916	-9.3996754900021	n/a	ECOG
A57	-9.80453487624658	-87.1575082919742	-12.6969371043871	n/a	ECOG
A58	-16.6880116350699	-82.22847212209	-11.1871964765375	n/a	ECOG
A59	-36.7879515881506	-64.7925303260752	-17.87413777633	n/a	ECOG
A60	-43.9547108842223	-64.079522152075	-17.1871903421095	n/a	ECOG
A61	-52.0224924970793	-59.202284617072	-13.1713634035431	n/a	ECOG
A62	-54.5770396699841	-55.7291536087958	-5.14846338164749	n/a	ECOG
A63	-60.864429294663	-58.0688286186065	3.39767202921837	n/a	ECOG
B1	-50.8625583085438	28.419150326876	11.6459571426822	n/a	ECOG
B2	-51.0074745715865	17.34899161262	6.37385725570255	n/a	ECOG
B3	-51.8857780814971	7.56282926290327	6.85738223547103	n/a	ECOG
B4	-58.6998119712676	2.4171912352542	12.3080818579501	n/a	ECOG
B5	-60.3828866049747	-4.45210023121596	10.6403454998196	n/a	ECOG
B6	-62.6830168192819	-12.4595716758112	0.0664701944495232	n/a	ECOG
B7	-62.3916718783795	-15.8784951782867	5.00511031633762	n/a	ECOG
B8	-65.0123470664824	-24.8202783130159	7.87806629324394	n/a	ECOG
B9	-50.574401473999	25.2836595125646	18.5137466997508	n/a	ECOG
B10	-52.4499162814761	22.9209204244934	18.6728429714305	n/a	ECOG
B11	-49.4663755506477	11.5736384210171	10.1379672938545	n/a	ECOG
B12	-60.1733045949232	2.43536775292545	20.9224284991322	n/a	ECOG
B14	-63.172084903077	-15.4279479807655	17.1926560875553	n/a	ECOG
B15	-63.3452849624941	-26.8826516029819	25.3599946886101	n/a	ECOG
B16	-65.840399454104	-31.7579807857539	8.54952383852945	n/a	ECOG
B17	-41.6080624369167	29.0605928881856	34.5860228455307	n/a	ECOG
B18	-44.3526574998894	25.5305779719513	33.6876049412977	n/a	ECOG
B19	-52.3956079956669	14.5500435966773	21.0937146813277	n/a	ECOG
B20	-55.9647612885341	4.37142314449103	34.0524869022753	n/a	ECOG
B21	-60.8734672136755	-9.52303611704167	34.7561377774949	n/a	ECOG
B22	-61.664326197989	-16.4423185092491	26.4959319588322	n/a	ECOG
B23	-63.1798790694883	-27.1132199088999	27.2198497394587	n/a	ECOG
B24	-65.3225969224968	-38.0855024657793	12.7621743706049	n/a	ECOG
B25	-38.7113560401353	29.0951235233537	37.0897254547017	n/a	ECOG
B26	-40.4451754448398	26.7554893272835	38.327041400679	n/a	ECOG
B27	-41.5219789607413	18.2782106693159	36.4676460624541	n/a	ECOG
B28	-54.9890350572215	-4.851761989498	38.1827769733915	n/a	ECOG
B29	-58.1111179095787	-14.0415313359075	41.4309217401799	n/a	ECOG
B30	-55.6686533627094	-15.8248971747072	44.7855706208504	n/a	ECOG
B31	-60.5330819456369	-28.8636637502069	37.634441716239	n/a	ECOG
B32	-63.1580228664731	-31.7056734161889	33.0444809676817	n/a	ECOG
B34	-37.5234844386978	15.1893794691003	52.2318563038871	n/a	ECOG
B35	-40.4470023558444	12.4810560490861	51.0853104866591	n/a	ECOG
B36	-49.2776612083384	-1.26299598847067	48.2665920680001	n/a	ECOG
B37	-49.7174687801592	-5.45659673863634	49.9571298804059	n/a	ECOG
B38	-51.7206737057475	-23.7332129024019	50.0344013495733	n/a	ECOG
B39	-60.3045098784786	-33.5122594065314	40.8489689410933	n/a	ECOG
B40	-58.4029635768609	-38.7314097769308	40.1382651565859	n/a	ECOG
B41	-21.1964186828408	20.8612875040346	50.8179759902442	n/a	ECOG
B42	-26.3298412502212	11.0704555073144	53.6002701624928	n/a	ECOG
B44	-39.9382300984939	-15.6300831096684	61.6431616789543	n/a	ECOG
B45	-47.5895771282631	-19.839354608523	58.5636484670959	n/a	ECOG
B46	-50.2851173503287	-23.1380221168467	54.9693189480161	n/a	ECOG
B47	-45.7763782629231	-31.0098916905038	52.2366591280739	n/a	ECOG
B48	-55.6629599091191	-37.9997551617206	48.3080662772159	n/a	ECOG
B49	-10.289357560753	25.0279067157899	58.2447360557198	n/a	ECOG
B50	-19.6859105932633	-6.26839780524598	64.710598962259	n/a	ECOG
B51	-21.2435966075667	0.840493544413678	65.9635661259594	n/a	ECOG
B52	-36.5688458026656	-15.1851107536546	65.0740421141554	n/a	ECOG
B53	-42.9223739227193	-26.9142937071371	63.6184793766713	n/a	ECOG
B54	-38.5031804769631	-33.3179351051382	65.628250529142	n/a	ECOG
B55	-46.403570536159	-31.8668335178554	55.0542461164846	n/a	ECOG
B56	-32.2843722439452	-41.4778377507357	54.309291793516	n/a	ECOG
B57	-9.461336876882	18.8162874093792	61.9815749149194	n/a	ECOG
B58	-10.2153763278219	11.3676467162251	64.0531569026461	n/a	ECOG
B59	-7.02231387483994	0.150374100461208	68.7851876431664	n/a	ECOG
B60	-26.6897912185464	11.9747587889283	49.7900917462855	n/a	ECOG
B61	-21.9845065897743	-16.6100703532264	71.1600287571849	n/a	ECOG
B62	-35.7852402194234	-33.2883334230257	67.3819693469361	n/a	ECOG
B63	-33.4793977558213	-37.5569967231494	60.7445120433833	n/a	ECOG
B64	-31.3446843064071	-42.287599799137	55.4667327804053	n/a	ECOG
