name	x	y	z	size	type
A1	-36.9498135573112	-40.0457128511979	-22.9229402458908	n/a	ECOG
A2	-31.2681220624271	-34.2086699312965	-25.3241596951581	n/a	ECOG
A3	-22.8449780572981	-21.9215358474911	-28.0023912941849	n/a	ECOG
A4	-17.6108921940695	-9.28613649586703	-30.550547901896	n/a	ECOG
A5	-26.0045432852419	0.579954683888804	-37.1639062420634	n/a	ECOG
A6	-26.2532586692964	5.18145241962008	-41.2975001674371	n/a	ECOG
A7	-25.5481277184198	12.2157063629403	-38.4795332697414	n/a	ECOG
A8	-28.7968652622812	15.8511126345436	-32.9181610862681	n/a	ECOG
A9	-19.6525638746735	-22.9418064200638	-25.0149380139857	n/a	ECOG
A10	-22.5727856770458	-14.4631324197622	-32.1785091784176	n/a	ECOG
A11	-30.2391764775219	-6.50865474584225	-38.6832581206456	n/a	ECOG
A12	-29.4268566464418	-0.807992158019947	-40.6169376987739	n/a	ECOG
A13	-32.5534669453666	0.0126435525451268	-44.5173750422945	n/a	ECOG
A14	-36.2323903999073	12.2776791367755	-37.5835935695059	n/a	ECOG
A15	-10.61842289659	-67.5429578921939	-1.943923835517	n/a	ECOG
A16	-18.250546259528	-61.3944047095792	-8.00649165016093	n/a	ECOG
A17	-32.6934051654483	-54.8974552538571	-16.8557180174245	n/a	ECOG
A18	-33.5793964936429	-51.1894591645106	-18.6982008626797	n/a	ECOG
A19	-40.7892029999087	-42.77000631422	-20.0897940811695	n/a	ECOG
A20	-41.9786847991431	-40.0043389800411	-18.9109249825446	n/a	ECOG
A21	-48.3431384937875	-29.5188285123582	-24.9900519799866	n/a	ECOG
A22	-50.7279436943515	-22.9301094714427	-29.422672881696	n/a	ECOG
A23	-2.68042960118677	-64.2230061755084	19.8585866656079	n/a	ECOG
A24	-2.07039273693258	-57.8343224723867	15.2816000900013	n/a	ECOG
A26	-15.9006869444111	-63.5847400742089	-7.44618955200926	n/a	ECOG
A27	-31.6221883447378	-60.2470803459219	-15.9830031119737	n/a	ECOG
A28	-41.8829642238233	-58.0698944603837	-6.1097205722842	n/a	ECOG
A29	-50.1272376860548	-57.6446093719278	-11.9105356761773	n/a	ECOG
A30	-57.0309619775554	-56.5141993145015	-12.2375111704705	n/a	ECOG
A31	-57.8801929294663	-43.9782322045141	-16.6373596768651	n/a	ECOG
A32	-63.3133440440133	-42.2044222991739	-6.09705639059824	n/a	ECOG
A33	-36.0835159276156	-6.8055105509399	-39.7951090524661	n/a	ECOG
A34	-38.2429466157952	-7.86535202800077	-41.5536315585143	n/a	ECOG
A35	-41.9718860395803	-5.118568469769	-42.8298999159128	n/a	ECOG
A37	14.2868655880026	32.6362118253772	-23.3923877204025	n/a	ECOG
A38	5.25127198120092	29.6534967454488	-26.5985504099187	n/a	ECOG
A39	-9.03805552232986	32.8842753467944	-20.9722845000709	n/a	ECOG
A40	-15.9115118397962	24.5083091793444	-23.9810611046401	n/a	ECOG
A41	-22.2420905990089	22.8702389608294	-17.4687120162401	n/a	ECOG
A42	-37.6001195702777	23.6751090491378	-18.5062537359711	n/a	ECOG
A43	-45.7509348286878	27.0250336115792	-12.1860929458733	n/a	ECOG
A44	-46.8853069740654	33.2480812635998	-13.2545844638108	n/a	ECOG
A45	-34.0998421508994	-53.4060263870546	-18.5900141232766	n/a	ECOG
A46	-42.7536746223501	-46.5189240718048	-13.3973380844065	n/a	ECOG
A47	-55.391781372992	-45.855533695861	-18.8044687184711	n/a	ECOG
A48	-56.4019607876771	-57.6105262218706	-13.2965657170787	n/a	ECOG
B1	-39.9238593696748	-10.8299414044459	60.6559959693243	n/a	ECOG
B3	-40.0511797424931	10.3825920017674	52.5384938208049	n/a	ECOG
B4	-39.5073881533322	14.313522990678	51.1007707634228	n/a	ECOG
B5	-41.4215759686976	18.7410408560462	42.3950740481383	n/a	ECOG
B6	-39.4397777890199	20.7557286441726	40.8059244399103	n/a	ECOG
B7	-42.3970859617195	29.3276365997007	33.6452612128034	n/a	ECOG
B8	-43.6675154154733	30.4521721180653	27.8300353447063	n/a	ECOG
B9	-51.2289764378695	-15.9496128728726	51.3531920106619	n/a	ECOG
B10	-46.1792864767497	-7.31495417204479	51.9256901657821	n/a	ECOG
B11	-52.5117369146155	-6.07251856320369	44.5493826475719	n/a	ECOG
