name	x	y	z	size	group	type
LAN1	-4.605499	-12.480000	10.322064	n/a	LAN	depth
LAN2	-4.830511	-10.716005	12.356237	n/a	LAN	depth
LAN3	-5.055522	-8.952010	14.390409	n/a	LAN	depth
LAN4	-5.280533	-7.188015	16.424581	n/a	LAN	depth
LCM1	-10.537723	-25.228035	-1.015524	n/a	LCM	depth
LCM2	-11.064103	-23.581943	1.057770	n/a	LCM	depth
LCM3	-11.590483	-21.935852	3.131064	n/a	LCM	depth
LCM4	-12.116863	-20.289761	5.204358	n/a	LCM	depth
LAC1	-2.459054	28.850885	13.931315	n/a	LAC	depth
LAC2	-7.474847	29.868051	14.864164	n/a	LAC	depth
LAC3	-12.490639	30.885217	15.797014	n/a	LAC	depth
LAC4	-17.506432	31.902383	16.729863	n/a	LAC	depth
LAC5	-22.522224	32.919550	17.662712	n/a	LAC	depth
LAC6	-27.538017	33.936716	18.595561	n/a	LAC	depth
LAC7	-32.553810	34.953882	19.528411	n/a	LAC	depth
LAC8	-37.569602	35.971048	20.461260	n/a	LAC	depth
LMFG1	-3.205334	9.206383	35.482769	n/a	LMFG	depth
LMFG2	-8.115444	9.214029	37.225507	n/a	LMFG	depth
LMFG3	-13.025553	9.221675	38.968246	n/a	LMFG	depth
LMFG4	-17.935663	9.229321	40.710984	n/a	LMFG	depth
LMFG5	-22.845773	9.236966	42.453722	n/a	LMFG	depth
LMFG6	-27.755883	9.244612	44.196461	n/a	LMFG	depth
LMFG7	-32.665992	9.252258	45.939199	n/a	LMFG	depth
LMFG8	-37.576102	9.259904	47.681937	n/a	LMFG	depth
LMFG9	-42.486212	9.267549	49.424676	n/a	LMFG	depth
LMFG10	-47.396322	9.275195	51.167414	n/a	LMFG	depth
LAH1	-24.164927	-17.937507	-18.769066	n/a	LAH	depth
LAH2	-29.259444	-18.162684	-17.760743	n/a	LAH	depth
LAH3	-34.353961	-18.387861	-16.752419	n/a	LAH	depth
LAH4	-39.448478	-18.613038	-15.744096	n/a	LAH	depth
LAH5	-44.542995	-18.838215	-14.735773	n/a	LAH	depth
LAH6	-49.637513	-19.063391	-13.727450	n/a	LAH	depth
LAH7	-54.732030	-19.288568	-12.719127	n/a	LAH	depth
LAH8	-59.826547	-19.513745	-11.710804	n/a	LAH	depth
LSTG1	-42.307070	-24.960804	4.766758	n/a	LSTG	depth
LSTG2	-47.103903	-26.665252	5.862893	n/a	LSTG	depth
LSTG3	-51.900735	-28.369701	6.959029	n/a	LSTG	depth
LSTG4	-56.697567	-30.074149	8.055165	n/a	LSTG	depth
LSTG5	-61.494400	-31.778598	9.151301	n/a	LSTG	depth
LSTG6	-66.291232	-33.483046	10.247436	n/a	LSTG	depth
LSTG7	-71.088065	-35.187495	11.343572	n/a	LSTG	depth
LSTG8	-75.884897	-36.891943	12.439708	n/a	LSTG	depth
LPH1	-19.828254	-33.436034	-11.930397	n/a	LPH	depth
LPH2	-24.362167	-35.630230	-10.575767	n/a	LPH	depth
LPH3	-28.896080	-37.824426	-9.221136	n/a	LPH	depth
LPH4	-33.429992	-40.018622	-7.866506	n/a	LPH	depth
LPH5	-37.963905	-42.212819	-6.511876	n/a	LPH	depth
LPH6	-42.497818	-44.407015	-5.157246	n/a	LPH	depth
LPH7	-47.031731	-46.601211	-3.802616	n/a	LPH	depth
LPH8	-51.565643	-48.795407	-2.447986	n/a	LPH	depth
LPC1	-2.271036	-41.422681	23.790199	n/a	LPC	depth
LPC2	-6.947126	-42.568707	25.803106	n/a	LPC	depth
LPC3	-11.623216	-43.714734	27.816013	n/a	LPC	depth
LPC4	-16.299305	-44.860760	29.828921	n/a	LPC	depth
LPC5	-20.975395	-46.006787	31.841828	n/a	LPC	depth
LPC6	-25.651485	-47.152813	33.854735	n/a	LPC	depth
LPC7	-30.327575	-48.298839	35.867642	n/a	LPC	depth
LPC8	-35.003665	-49.444866	37.880550	n/a	LPC	depth
LAG1	-36.011204	-53.035136	20.670325	n/a	LAG	depth
LAG2	-40.827755	-55.018236	20.829042	n/a	LAG	depth
LAG3	-45.644306	-57.001336	20.987759	n/a	LAG	depth
LAG4	-50.460857	-58.984435	21.146477	n/a	LAG	depth
LAG5	-55.277408	-60.967535	21.305194	n/a	LAG	depth
LAG6	-60.093959	-62.950635	21.463912	n/a	LAG	depth
LO1	-5.825064	-83.653263	-2.753189	n/a	LO	depth
LO2	-10.570754	-83.267782	-0.606490	n/a	LO	depth
LO3	-15.316445	-82.882302	1.540209	n/a	LO	depth
LO4	-20.062136	-82.496821	3.686908	n/a	LO	depth
LO5	-24.807827	-82.111340	5.833607	n/a	LO	depth
LO6	-29.553517	-81.725860	7.980306	n/a	LO	depth
LO7	-34.299208	-81.340379	10.127005	n/a	LO	depth
LO8	-39.044899	-80.954899	12.273704	n/a	LO	depth
LO9	-43.790590	-80.569418	14.420403	n/a	LO	depth
LO10	-48.536280	-80.183938	16.567102	n/a	LO	depth
RAC1	-2.169145	31.504693	8.449606	n/a	RAC	depth
RAC2	3.011724	31.381148	8.914504	n/a	RAC	depth
RAC3	8.192593	31.257602	9.379402	n/a	RAC	depth
RAC4	13.373463	31.134056	9.844301	n/a	RAC	depth
RAC5	18.554332	31.010511	10.309199	n/a	RAC	depth
RAC6	23.735201	30.886965	10.774097	n/a	RAC	depth
RAC7	28.916070	30.763419	11.238995	n/a	RAC	depth
RAC8	34.096940	30.639874	11.703893	n/a	RAC	depth
RAC9	39.277809	30.516328	12.168791	n/a	RAC	depth
RAC10	44.458678	30.392782	12.633690	n/a	RAC	depth
RMFG1	5.807633	12.656239	38.737038	n/a	RMFG	depth
RMFG2	10.992219	12.686723	39.172594	n/a	RMFG	depth
RMFG3	16.176804	12.717207	39.608150	n/a	RMFG	depth
RMFG4	21.361390	12.747691	40.043705	n/a	RMFG	depth
RMFG5	26.545975	12.778175	40.479261	n/a	RMFG	depth
RMFG6	31.730561	12.808659	40.914817	n/a	RMFG	depth
RMFG7	36.915147	12.839143	41.350373	n/a	RMFG	depth
RMFG8	42.099732	12.869628	41.785929	n/a	RMFG	depth
RMFG9	47.284318	12.900112	42.221484	n/a	RMFG	depth
RMFG10	52.468903	12.930596	42.657040	n/a	RMFG	depth
RMFG11	57.653489	12.961080	43.092596	n/a	RMFG	depth
RMFG12	62.838074	12.991564	43.528152	n/a	RMFG	depth
RAH1	24.864492	-17.038533	-18.499731	n/a	RAH	depth
RAH2	30.052506	-16.845991	-18.175732	n/a	RAH	depth
RAH3	35.240520	-16.653449	-17.851733	n/a	RAH	depth
RAH4	40.428534	-16.460907	-17.527734	n/a	RAH	depth
RAH5	45.616548	-16.268365	-17.203734	n/a	RAH	depth
RAH6	50.804562	-16.075823	-16.879735	n/a	RAH	depth
RAH7	55.992576	-15.883282	-16.555736	n/a	RAH	depth
RAH8	61.180590	-15.690740	-16.231737	n/a	RAH	depth
RSTG1	42.074133	-21.105600	5.472815	n/a	RSTG	depth
RSTG2	47.265358	-20.916058	5.321260	n/a	RSTG	depth
RSTG3	52.456583	-20.726516	5.169704	n/a	RSTG	depth
RSTG4	57.647808	-20.536973	5.018149	n/a	RSTG	depth
RSTG5	62.839033	-20.347431	4.866593	n/a	RSTG	depth
RSTG6	68.030258	-20.157889	4.715038	n/a	RSTG	depth
RSTG7	73.221483	-19.968347	4.563482	n/a	RSTG	depth
RSTG8	78.412708	-19.778805	4.411927	n/a	RSTG	depth
RPH1	22.023945	-36.879644	-10.956761	n/a	RPH	depth
RPH2	27.212240	-36.821177	-10.583144	n/a	RPH	depth
RPH3	32.400534	-36.762710	-10.209528	n/a	RPH	depth
RPH4	37.588829	-36.704242	-9.835912	n/a	RPH	depth
RPH5	42.777123	-36.645775	-9.462295	n/a	RPH	depth
RPH6	47.965418	-36.587308	-9.088679	n/a	RPH	depth
RPH7	53.153713	-36.528841	-8.715063	n/a	RPH	depth
RPH8	58.342007	-36.470374	-8.341446	n/a	RPH	depth
RPC1	4.904952	-41.750684	25.814833	n/a	RPC	depth
RPC2	9.823361	-40.201663	26.639414	n/a	RPC	depth
RPC3	14.741770	-38.652641	27.463994	n/a	RPC	depth
RPC4	19.660179	-37.103620	28.288574	n/a	RPC	depth
RPC5	24.578588	-35.554599	29.113155	n/a	RPC	depth
RPC6	29.496997	-34.005577	29.937735	n/a	RPC	depth
RPC7	34.415406	-32.456556	30.762315	n/a	RPC	depth
RPC8	39.333815	-30.907535	31.586896	n/a	RPC	depth
RPC9	44.252224	-29.358514	32.411476	n/a	RPC	depth
RPC10	49.170633	-27.809492	33.236057	n/a	RPC	depth
RPC11	54.089042	-26.260471	34.060637	n/a	RPC	depth
RPC12	59.007451	-24.711450	34.885217	n/a	RPC	depth
RAG1	34.927608	-46.134105	17.772117	n/a	RAG	depth
RAG2	39.931505	-47.559120	17.870305	n/a	RAG	depth
RAG3	44.935403	-48.984136	17.968494	n/a	RAG	depth
RAG4	49.939300	-50.409152	18.066683	n/a	RAG	depth
RAG5	54.943198	-51.834168	18.164871	n/a	RAG	depth
RAG6	59.947095	-53.259183	18.263060	n/a	RAG	depth
RO1	0.370095	-82.363951	-2.532068	n/a	RO	depth
RO2	4.735386	-82.562658	0.454012	n/a	RO	depth
RO3	9.100678	-82.761364	3.440091	n/a	RO	depth
RO4	13.465969	-82.960071	6.426171	n/a	RO	depth
RO5	17.831260	-83.158778	9.412250	n/a	RO	depth
RO6	22.196552	-83.357485	12.398330	n/a	RO	depth
RO7	26.561843	-83.556192	15.384409	n/a	RO	depth
RO8	30.927134	-83.754898	18.370489	n/a	RO	depth
RO9	35.292426	-83.953605	21.356568	n/a	RO	depth
RO10	39.657717	-84.152312	24.342648	n/a	RO	depth
