name	x	y	z	size	type
A13	-22.9384188485626	-10.2103726488232	-33.9315446994449	n/a	ECOG
A14	-31.5938976838285	-10.7392401385927	-33.1310277938843	n/a	ECOG
A15	-34.8478243526996	-12.4379806984791	-34.8691034547435	n/a	ECOG
A16	-36.6776045332019	-9.81133043662014	-32.2526231586533	n/a	ECOG
A17	-48.5608677396838	-6.87166698256464	-35.92729999107	n/a	ECOG
A18	-51.6329685928037	-2.74713154194378	-30.0708327050177	n/a	ECOG
A19	-57.0238855093118	0.710997001501113	-26.9257550284366	n/a	ECOG
A20	-53.9756943491481	2.98592310715342	-24.6193823711984	n/a	ECOG
A21	-23.1899681142513	-15.0429059640673	-32.0488562193493	n/a	ECOG
A22	-26.5298374969687	-14.2215211858685	-32.0534464637705	n/a	ECOG
A23	-36.9643380184302	-21.8371550857621	-25.111625636824	n/a	ECOG
A24	-51.0859671061471	-26.3751377816168	-27.8179495152211	n/a	ECOG
A25	-48.7389081097289	-32.8502775851512	-23.426654098818	n/a	ECOG
A26	-54.185960150085	-15.318449948068	-28.7982866543251	n/a	ECOG
A27	-62.5986605445811	-11.8280323907408	-20.2997125227179	n/a	ECOG
A28	-60.9251934077116	-7.47860480806878	-17.0230615414129	n/a	ECOG
A29	-25.3554498698087	-47.5967846223972	-17.4677348437725	n/a	ECOG
A30	-33.4693371881575	-44.2650290572403	-21.3518680854132	n/a	ECOG
A31	-40.2756144760439	-44.4965976497471	-20.9536012371114	n/a	ECOG
A32	-54.7075951621036	-41.7269588624071	-23.0210453059049	n/a	ECOG
A33	-54.2849955129943	-38.040183519837	-18.2163179474389	n/a	ECOG
A34	-65.4766889482537	-30.6683616433368	-11.6931138060837	n/a	ECOG
A35	-65.949671805465	-27.0263569787045	-10.6808869887318	n/a	ECOG
A36	-61.7103762812262	-25.6912046890131	-7.21770072879907	n/a	ECOG
A37	-20.0542353399648	-65.402271270752	-11.3913468230091	n/a	ECOG
A38	-31.347663385276	-59.5577115231712	-16.1128223848023	n/a	ECOG
A39	-39.0489656621178	-56.4850948384944	-20.3066609881868	n/a	ECOG
A40	-52.1398278332397	-51.0126208401366	-17.9681885140054	n/a	ECOG
A41	-58.3634072655799	-47.0630634141448	-17.4407397660633	n/a	ECOG
A42	-62.6869646750841	-40.2737572458766	-7.95240920268799	n/a	ECOG
A43	-62.1500916295404	-31.1051952765292	-6.42736448890361	n/a	ECOG
A44	-63.0478809407893	-26.2156462272542	-7.0549981417747	n/a	ECOG
A45	-23.0852490220294	48.3778581004815	33.7028940335216	n/a	ECOG
A46	-23.1383750173069	41.9767728178293	30.6453739383877	n/a	ECOG
