name	x	y	z	size	type
A1	-17.0661477818585	37.0941348722317	-20.6105945241531	n/a	ECOG
A2	-39.0801503994321	37.6743781172989	-13.0960043390325	n/a	ECOG
A3	-46.6062660345295	31.6110663381999	-13.2402600861986	n/a	ECOG
A4	-49.7018384920671	34.2360486036979	-4.01456713871843	n/a	ECOG
A5	-50.1371694910446	32.839005573964	2.88356002717898	n/a	ECOG
A6	-53.5827239990234	24.7299802594537	10.5899373539017	n/a	ECOG
A7	-22.0724526955777	54.0355806261101	24.6930319907681	n/a	ECOG
A8	-22.4481560284659	49.6556258272005	31.5964720764416	n/a	ECOG
A9	-30.2010677977696	33.2721931515124	34.5486183934564	n/a	ECOG
A10	-31.3977221021716	31.7976477683791	40.1224116574998	n/a	ECOG
A11	-37.2197102156261	21.7060050911551	46.5956215583238	n/a	ECOG
A12	-39.5589082628289	12.6178330246334	52.1146274387436	n/a	ECOG
A13	-39.0489847720869	3.0456077639837	51.912800232036	n/a	ECOG
A14	-44.6118183737633	-9.29972861384685	53.0433495591951	n/a	ECOG
A15	-33.5259183166811	49.9343495695383	21.5865809056583	n/a	ECOG
A16	-34.4080154278134	37.8881741440536	14.1326470909503	n/a	ECOG
A17	-35.7443919418642	34.3017289756929	31.4523998567722	n/a	ECOG
A18	-35.8460255667667	29.724389256407	38.3009797870713	n/a	ECOG
A19	-39.7062694216735	18.0952098288792	45.847766713648	n/a	ECOG
A20	-41.6426822764762	11.2077211093983	46.6041625643737	n/a	ECOG
A21	-51.2357509280211	-2.11545100341107	45.9665320671645	n/a	ECOG
A22	-48.8065005488044	-10.4813291244259	48.2244971000108	n/a	ECOG
A23	-38.2973411176029	43.4412794778811	25.6303888996175	n/a	ECOG
A24	-40.5514365074619	35.2356989239686	26.5222210199241	n/a	ECOG
A25	-43.3258356043156	31.8321845963497	29.8351124225847	n/a	ECOG
A26	-43.7033228048542	27.5474508176714	30.2417868236567	n/a	ECOG
A27	-42.4050625692278	18.1146958375937	40.0733776809385	n/a	ECOG
A28	-57.6246302431862	0.147219090876302	33.6725042496752	n/a	ECOG
A29	-55.3376709982853	-3.90357255331684	38.5669176805739	n/a	ECOG
A30	-57.1587579381546	-15.7639801876657	42.6902081470362	n/a	ECOG
A31	-39.1055125255713	42.6091400799335	21.4418470440295	n/a	ECOG
