name	x	y	z	size	group	type
G1	57.686780	4.061015	-11.360943	n/a	G	grid
G2	60.844421	-6.105910	-6.422512	n/a	G	grid
G3	64.083718	-14.739103	-4.344345	n/a	G	grid
G4	66.648140	-24.568870	1.661586	n/a	G	grid
G5	68.409781	-33.455099	5.895432	n/a	G	grid
G6	64.089497	-45.350610	9.404685	n/a	G	grid
G7	61.636236	-53.622968	14.015212	n/a	G	grid
G8	58.821226	-61.426597	18.556310	n/a	G	grid
G9	57.504643	7.944364	-1.223213	n/a	G	grid
G10	60.463431	-0.525698	3.890250	n/a	G	grid
G11	63.355283	-10.017503	7.960365	n/a	G	grid
G12	67.368355	-19.533463	12.378506	n/a	G	grid
G13	67.895211	-30.126658	17.312617	n/a	G	grid
G14	66.248664	-39.691016	20.870523	n/a	G	grid
G15	62.291655	-49.345847	24.896219	n/a	G	grid
G16	59.513879	-59.146377	28.134165	n/a	G	grid
G17	57.193051	12.572110	8.909636	n/a	G	grid
G18	58.852152	3.056836	14.647399	n/a	G	grid
G19	61.797521	-6.265803	17.837615	n/a	G	grid
G20	66.868289	-16.235408	23.511747	n/a	G	grid
G21	67.483181	-26.169172	27.225884	n/a	G	grid
G22	66.899841	-35.636138	32.267594	n/a	G	grid
G23	63.918930	-44.890857	36.299297	n/a	G	grid
G24	61.468869	-54.004934	39.478650	n/a	G	grid
G25	56.737511	16.620755	19.674735	n/a	G	grid
G26	59.545822	6.178806	24.708945	n/a	G	grid
G27	61.298472	-2.125999	29.454548	n/a	G	grid
G28	65.004718	-12.286215	32.928651	n/a	G	grid
G29	66.290108	-20.300799	38.617560	n/a	G	grid
G30	65.294074	-31.502567	43.252555	n/a	G	grid
G31	62.081300	-40.517981	46.670085	n/a	G	grid
G32	58.238116	-49.594848	49.486069	n/a	G	grid
G33	52.842315	22.026254	31.555046	n/a	G	grid
G34	54.514903	11.638844	36.525174	n/a	G	grid
G35	57.329743	2.589682	42.270888	n/a	G	grid
G36	59.071368	-6.817198	46.560864	n/a	G	grid
G37	60.369229	-16.576148	50.866790	n/a	G	grid
G38	59.208938	-26.721344	53.073224	n/a	G	grid
G39	55.300951	-35.916296	56.474900	n/a	G	grid
G40	53.083333	-46.322643	57.791852	n/a	G	grid
G41	45.633925	25.148132	40.060305	n/a	G	grid
G42	47.303034	15.893184	45.770002	n/a	G	grid
G43	49.051188	7.879091	50.771484	n/a	G	grid
G44	50.876687	-2.389389	55.729316	n/a	G	grid
G45	51.218146	-11.908280	61.983179	n/a	G	grid
G46	50.709784	-23.501389	64.381907	n/a	G	grid
G47	48.121567	-32.855190	64.412271	n/a	G	grid
G48	43.192865	-43.080442	64.994620	n/a	G	grid
G49	38.592616	30.170299	46.637375	n/a	G	grid
G50	39.051451	19.438323	52.735327	n/a	G	grid
G51	40.720560	10.183374	58.445024	n/a	G	grid
G52	41.291943	0.340769	63.010994	n/a	G	grid
G53	41.838814	-9.731775	67.888973	n/a	G	grid
G54	41.355980	-20.253194	70.459382	n/a	G	grid
G55	38.757755	-29.867322	70.517812	n/a	G	grid
G56	36.149522	-39.741774	70.604306	n/a	G	grid
G57	30.714115	31.770112	53.826545	n/a	G	grid
G58	31.439875	23.172299	58.270739	n/a	G	grid
G59	32.286721	13.875629	63.201368	n/a	G	grid
G60	31.857921	2.988258	66.242330	n/a	G	grid
G61	32.523007	-7.125777	72.886803	n/a	G	grid
G62	32.030165	-17.907522	75.485278	n/a	G	grid
G63	29.816732	-28.718705	73.570297	n/a	G	grid
G64	27.996345	-37.960044	73.338718	n/a	G	grid
ST1	25.628820	0.625326	-47.075054	n/a	ST	strip
ST2	32.428367	-7.373729	-48.172998	n/a	ST	strip
ST3	40.877640	-14.792370	-44.170512	n/a	ST	strip
ST4	48.488462	-19.945025	-38.999869	n/a	ST	strip
ST5	55.641712	-25.087537	-33.212447	n/a	ST	strip
ST6	62.332793	-28.949395	-25.965753	n/a	ST	strip
ST7	66.182523	-32.489681	-15.443443	n/a	ST	strip
ST8	68.948531	-33.394951	-3.942730	n/a	ST	strip
SPO1	4.957204	-81.611395	10.858199	n/a	SPO	strip
SPO2	6.527778	-83.551730	23.680483	n/a	SPO	strip
SPO3	11.417796	-85.963215	33.700059	n/a	SPO	strip
SPO4	17.441275	-83.346574	41.497517	n/a	SPO	strip
SPO5	25.383799	-77.888345	46.921038	n/a	SPO	strip
SPO6	33.938132	-70.577891	50.012362	n/a	SPO	strip
SPO7	41.210118	-65.443739	51.980899	n/a	SPO	strip
SPO8	49.051033	-56.030410	54.458922	n/a	SPO	strip
DAM1	27.414879	-18.671444	34.145953	n/a	DAM	depth
DAM2	31.578449	-17.053556	37.639563	n/a	DAM	depth
DAM3	35.742020	-15.435668	41.133173	n/a	DAM	depth
DAM4	39.905590	-13.817781	44.626783	n/a	DAM	depth
DAM5	44.069160	-12.199893	48.120393	n/a	DAM	depth
DAM6	48.232730	-10.582006	51.614002	n/a	DAM	depth
DP1	26.728536	-36.524850	36.070720	n/a	DP	depth
DP2	31.981027	-35.938592	38.169313	n/a	DP	depth
DP3	37.233518	-35.352333	40.267906	n/a	DP	depth
