name	x	y	z	size	group	type
RCM1	8.295117	-23.073215	-5.198132	n/a	RCM	depth
RCM2	9.541701	-21.021291	-3.701997	n/a	RCM	depth
RCM3	10.788285	-18.969367	-2.205863	n/a	RCM	depth
RCM4	12.034868	-16.917443	-0.709728	n/a	RCM	depth
RAH1	24.694815	-13.106839	-22.438450	n/a	RAH	depth
RAH2	30.328952	-12.900538	-23.021967	n/a	RAH	depth
RAH3	35.963088	-12.694238	-23.605485	n/a	RAH	depth
RAH4	41.597225	-12.487937	-24.189002	n/a	RAH	depth
RAH5	47.231361	-12.281637	-24.772520	n/a	RAH	depth
RAH6	52.865498	-12.075337	-25.356037	n/a	RAH	depth
RAH7	58.499634	-11.869036	-25.939555	n/a	RAH	depth
RAH8	64.133771	-11.662736	-26.523072	n/a	RAH	depth
RPH1	32.336965	-30.924565	-8.533015	n/a	RPH	depth
RPH2	38.019248	-31.066134	-8.726500	n/a	RPH	depth
RPH3	43.701531	-31.207702	-8.919985	n/a	RPH	depth
RPH4	49.383814	-31.349271	-9.113469	n/a	RPH	depth
RPH5	55.066097	-31.490839	-9.306954	n/a	RPH	depth
RPH6	60.748380	-31.632408	-9.500439	n/a	RPH	depth
RPH7	66.430663	-31.773976	-9.693924	n/a	RPH	depth
RPH8	72.112946	-31.915545	-9.887409	n/a	RPH	depth
RI1	45.134960	-15.839572	-12.028985	n/a	RI	depth
RI2	43.645499	-11.808914	-8.208455	n/a	RI	depth
RI3	42.156038	-7.778256	-4.387924	n/a	RI	depth
RI4	40.666578	-3.747598	-0.567393	n/a	RI	depth
RI5	39.177117	0.283061	3.253138	n/a	RI	depth
RI6	37.687656	4.313719	7.073669	n/a	RI	depth
RI7	36.198196	8.344377	10.894200	n/a	RI	depth
RI8	34.708735	12.375035	14.714731	n/a	RI	depth
RI9	33.219274	16.405693	18.535262	n/a	RI	depth
RI10	31.729814	20.436351	22.355792	n/a	RI	depth
RI11	30.240353	24.467009	26.176323	n/a	RI	depth
RI12	28.750893	28.497667	29.996854	n/a	RI	depth
RIFG1	6.739319	10.876543	25.983453	n/a	RIFG	depth
RIFG2	12.401079	10.243945	25.601427	n/a	RIFG	depth
RIFG3	18.062839	9.611347	25.219401	n/a	RIFG	depth
RIFG4	23.724599	8.978748	24.837375	n/a	RIFG	depth
RIFG5	29.386358	8.346150	24.455348	n/a	RIFG	depth
RIFG6	35.048118	7.713552	24.073322	n/a	RIFG	depth
RIFG7	40.709878	7.080954	23.691296	n/a	RIFG	depth
RIFG8	46.371637	6.448355	23.309270	n/a	RIFG	depth
RIFG9	52.033397	5.815757	22.927244	n/a	RIFG	depth
RIFG10	57.695157	5.183159	22.545218	n/a	RIFG	depth
RIFG11	63.356916	4.550561	22.163191	n/a	RIFG	depth
RIFG12	69.018676	3.917962	21.781165	n/a	RIFG	depth
RSTG1	49.711283	-10.341356	-10.880048	n/a	RSTG	depth
RSTG2	53.179497	-5.891528	-11.579198	n/a	RSTG	depth
RSTG3	56.647712	-1.441701	-12.278348	n/a	RSTG	depth
RSTG4	60.115926	3.008127	-12.977498	n/a	RSTG	depth
RSTG5	63.584140	7.457955	-13.676648	n/a	RSTG	depth
RSTG6	67.052355	11.907782	-14.375798	n/a	RSTG	depth
RTO1	23.913439	-43.317780	-12.836568	n/a	RTO	depth
RTO2	29.597677	-43.377221	-12.892029	n/a	RTO	depth
RTO3	35.281916	-43.436661	-12.947491	n/a	RTO	depth
RTO4	40.966155	-43.496102	-13.002953	n/a	RTO	depth
RTO5	46.650393	-43.555543	-13.058414	n/a	RTO	depth
RTO6	52.334632	-43.614984	-13.113876	n/a	RTO	depth
RTO7	58.018870	-43.674425	-13.169338	n/a	RTO	depth
RTO8	63.703109	-43.733865	-13.224799	n/a	RTO	depth
LIFG1	-4.302297	20.010609	28.419012	n/a	LIFG	depth
LIFG2	-9.810374	18.828848	28.602049	n/a	LIFG	depth
LIFG3	-15.318452	17.647086	28.785086	n/a	LIFG	depth
LIFG4	-20.826530	16.465324	28.968123	n/a	LIFG	depth
LIFG5	-26.334608	15.283563	29.151159	n/a	LIFG	depth
LIFG6	-31.842685	14.101801	29.334196	n/a	LIFG	depth
LIFG7	-37.350763	12.920039	29.517233	n/a	LIFG	depth
LIFG8	-42.858841	11.738278	29.700270	n/a	LIFG	depth
LIFG9	-48.366918	10.556516	29.883306	n/a	LIFG	depth
LIFG10	-53.874996	9.374754	30.066343	n/a	LIFG	depth
LIFG11	-59.383074	8.192992	30.249380	n/a	LIFG	depth
LIFG12	-64.891152	7.011231	30.432417	n/a	LIFG	depth
LSTG1	-42.221439	-15.193781	-9.410296	n/a	LSTG	depth
LSTG2	-46.183472	-10.770031	-9.768988	n/a	LSTG	depth
LSTG3	-50.145506	-6.346281	-10.127681	n/a	LSTG	depth
LSTG4	-54.107540	-1.922530	-10.486373	n/a	LSTG	depth
LSTG5	-58.069573	2.501220	-10.845066	n/a	LSTG	depth
LSTG6	-62.031607	6.924971	-11.203758	n/a	LSTG	depth
