name	x	y	z	size	group	type
G1	-54.052114	-65.839693	3.744141	n/a	G	grid
G2	-57.612316	-58.696862	-1.554660	n/a	G	grid
G3	-54.657198	-46.684042	-4.944707	n/a	G	grid
G4	-60.400362	-39.595221	-11.408523	n/a	G	grid
G5	-60.059486	-29.130810	-15.651259	n/a	G	grid
G6	-60.261942	-18.913328	-20.127198	n/a	G	grid
G7	-51.522417	-9.386998	-18.986650	n/a	G	grid
G8	-47.444759	-1.549193	-19.984610	n/a	G	grid
G9	-54.411834	-63.311560	12.383961	n/a	G	grid
G10	-57.965639	-55.643403	7.591687	n/a	G	grid
G11	-60.106844	-46.159635	2.662212	n/a	G	grid
G12	-59.651084	-35.173718	-1.801628	n/a	G	grid
G13	-56.565870	-24.027649	-5.235726	n/a	G	grid
G14	-58.910609	-14.104530	-10.410526	n/a	G	grid
G15	-55.745424	-4.352913	-13.251703	n/a	G	grid
G16	-50.907411	3.737573	-14.735281	n/a	G	grid
G17	-52.736223	-58.859550	22.108925	n/a	G	grid
G18	-58.082789	-52.107167	18.091255	n/a	G	grid
G19	-61.796206	-42.772169	13.342005	n/a	G	grid
G20	-62.121008	-31.292439	8.404605	n/a	G	grid
G21	-60.572691	-19.683347	3.807977	n/a	G	grid
G22	-60.473763	-8.661349	-0.846720	n/a	G	grid
G23	-54.632064	0.703206	-3.610327	n/a	G	grid
G24	-52.560458	9.577205	-6.976162	n/a	G	grid
G25	-52.175410	-55.188303	32.956641	n/a	G	grid
G26	-55.822618	-46.750110	29.420393	n/a	G	grid
G27	-58.927392	-36.844577	25.251687	n/a	G	grid
G28	-59.066758	-25.337876	20.335448	n/a	G	grid
G29	-59.640621	-13.961386	15.485936	n/a	G	grid
G30	-58.271408	-2.898803	10.725470	n/a	G	grid
G31	-55.987562	7.156048	6.371353	n/a	G	grid
G32	-53.618177	16.185850	2.446548	n/a	G	grid
G33	-48.876270	-49.196373	43.502620	n/a	G	grid
G34	-52.918494	-40.874310	41.063330	n/a	G	grid
G35	-55.948896	-30.734325	37.540107	n/a	G	grid
G36	-57.250540	-19.371144	32.988175	n/a	G	grid
G37	-57.500069	-7.788152	28.038579	n/a	G	grid
G38	-55.940065	3.150516	22.851326	n/a	G	grid
G39	-55.037628	13.605027	18.065767	n/a	G	grid
G40	-53.687169	23.203491	13.529792	n/a	G	grid
G41	-41.043351	-40.244517	50.184054	n/a	G	grid
G42	-45.573772	-32.980119	49.671959	n/a	G	grid
G43	-49.281617	-23.699781	47.767854	n/a	G	grid
G44	-50.006479	-13.033905	43.481855	n/a	G	grid
G45	-52.018146	-1.967244	39.774946	n/a	G	grid
G46	-47.742915	7.009095	33.285389	n/a	G	grid
G47	-49.520258	17.846568	29.554183	n/a	G	grid
G48	-48.111695	26.485541	24.933041	n/a	G	grid
G49	-36.308285	-33.699782	57.735395	n/a	G	grid
G50	-39.303850	-26.122313	57.164009	n/a	G	grid
G51	-39.086047	-16.990789	52.828034	n/a	G	grid
G52	-40.710216	-7.835902	50.207698	n/a	G	grid
G53	-42.885318	2.064586	47.765095	n/a	G	grid
G54	-43.750150	11.932114	44.104146	n/a	G	grid
G55	-42.311458	20.076484	39.063445	n/a	G	grid
G56	-42.343510	28.761931	35.194052	n/a	G	grid
G57	-30.437093	-26.838851	62.238034	n/a	G	grid
G58	-32.084441	-19.681582	61.165368	n/a	G	grid
G59	-33.346860	-11.773959	59.185200	n/a	G	grid
G60	-33.119990	-3.815779	55.134408	n/a	G	grid
G61	-35.370380	5.176823	53.972221	n/a	G	grid
G62	-36.331845	13.997705	51.136999	n/a	G	grid
G63	-35.370928	21.070365	46.516831	n/a	G	grid
G64	-33.785679	26.589677	41.804645	n/a	G	grid
F1	-33.184954	63.112094	-1.043410	n/a	F	strip
F2	-40.043003	59.488800	-1.431617	n/a	F	strip
F3	-45.114239	50.640704	-0.859653	n/a	F	strip
F4	-48.863698	39.493959	0.204468	n/a	F	strip
F5	-53.807118	29.369042	0.970870	n/a	F	strip
F6	-53.176612	15.656744	2.962422	n/a	F	strip
F7	-55.461140	4.884973	4.165027	n/a	F	strip
F8	-57.325743	-5.435434	5.359443	n/a	F	strip
O1	-32.692837	-80.296454	44.406531	n/a	O	strip
O2	-39.720028	-77.270522	40.563447	n/a	O	strip
O3	-46.572612	-72.044579	35.450895	n/a	O	strip
O4	-51.923252	-64.029808	29.098634	n/a	O	strip
O5	-57.693685	-56.011128	22.622894	n/a	O	strip
O6	-61.854062	-46.735602	15.857725	n/a	O	strip
O7	-64.031896	-36.973347	9.372627	n/a	O	strip
O8	-61.580777	-26.986664	4.088597	n/a	O	strip
