name	x	y	z	size	group	type
G1	-53.514286	-73.276110	9.353354	n/a	G	grid
G2	-56.129913	-67.128636	3.125722	n/a	G	grid
G3	-59.336964	-60.262236	-3.765162	n/a	G	grid
G4	-61.105951	-51.379933	-10.641199	n/a	G	grid
G5	-60.933616	-41.070630	-16.830218	n/a	G	grid
G6	-58.183177	-30.171546	-21.399591	n/a	G	grid
G7	-55.318502	-20.178838	-25.447339	n/a	G	grid
G8	-51.996502	-11.134153	-28.793782	n/a	G	grid
G9	-52.392678	-70.850406	18.532074	n/a	G	grid
G10	-57.067480	-65.559638	12.534452	n/a	G	grid
G11	-62.281630	-58.885990	5.524250	n/a	G	grid
G12	-65.113594	-49.159221	-1.861600	n/a	G	grid
G13	-66.082670	-37.879448	-9.076007	n/a	G	grid
G14	-62.769885	-25.647948	-14.422119	n/a	G	grid
G15	-59.187102	-14.650963	-18.949912	n/a	G	grid
G16	-54.386445	-5.144977	-22.014734	n/a	G	grid
G17	-51.631684	-68.371640	28.748998	n/a	G	grid
G18	-56.878271	-62.512959	23.431080	n/a	G	grid
G19	-63.170862	-55.368509	17.048488	n/a	G	grid
G20	-67.093154	-44.947873	9.614015	n/a	G	grid
G21	-67.377497	-32.327426	2.177779	n/a	G	grid
G22	-64.487461	-19.572561	-4.240010	n/a	G	grid
G23	-59.787023	-8.238689	-9.228369	n/a	G	grid
G24	-54.306101	1.056360	-12.805889	n/a	G	grid
G25	-50.651023	-65.340598	40.060220	n/a	G	grid
G26	-55.894115	-58.417897	35.459676	n/a	G	grid
G27	-63.916918	-51.098873	30.349696	n/a	G	grid
G28	-68.047709	-39.438772	23.118523	n/a	G	grid
G29	-65.997682	-25.478615	15.190580	n/a	G	grid
G30	-64.533046	-12.585510	7.821943	n/a	G	grid
G31	-61.429618	-0.887751	1.314360	n/a	G	grid
G32	-54.590030	7.893757	-3.113951	n/a	G	grid
G33	-47.201477	-59.757210	50.916607	n/a	G	grid
G34	-52.671150	-52.402472	47.468839	n/a	G	grid
G35	-59.297608	-43.549674	43.319381	n/a	G	grid
G36	-63.762890	-31.679167	37.006859	n/a	G	grid
G37	-64.478083	-18.161637	29.081277	n/a	G	grid
G38	-61.742462	-5.281972	20.955068	n/a	G	grid
G39	-58.788753	6.059815	13.710454	n/a	G	grid
G40	-56.632606	16.337920	7.238839	n/a	G	grid
G41	-41.049047	-51.834283	59.221879	n/a	G	grid
G42	-47.651790	-45.210584	58.267116	n/a	G	grid
G43	-53.522138	-35.680402	55.167183	n/a	G	grid
G44	-56.912436	-23.596525	49.303969	n/a	G	grid
G45	-57.762215	-10.700069	41.724877	n/a	G	grid
G46	-56.517733	1.472207	33.592720	n/a	G	grid
G47	-55.566172	12.793411	26.124519	n/a	G	grid
G48	-54.007031	22.834535	19.153166	n/a	G	grid
G49	-35.345246	-44.677347	66.583808	n/a	G	grid
G50	-39.640891	-36.691028	64.825703	n/a	G	grid
G51	-43.505962	-27.064865	61.675811	n/a	G	grid
G52	-48.993123	-16.191245	59.088080	n/a	G	grid
G53	-48.712818	-4.522684	51.160939	n/a	G	grid
G54	-48.010993	6.263380	43.453633	n/a	G	grid
G55	-48.187405	16.745061	36.651611	n/a	G	grid
G56	-47.826203	26.235564	29.995360	n/a	G	grid
G57	-29.890503	-38.195248	72.992441	n/a	G	grid
G58	-32.184269	-29.346014	69.189376	n/a	G	grid
G59	-35.820079	-20.336407	67.144820	n/a	G	grid
G60	-37.007540	-10.422717	61.433001	n/a	G	grid
G61	-39.034985	-0.268453	56.636812	n/a	G	grid
G62	-40.746239	10.023848	51.312300	n/a	G	grid
G63	-40.564192	18.879755	44.544853	n/a	G	grid
G64	-41.028534	27.541187	38.552325	n/a	G	grid
B1	-7.082851	59.525748	-22.003430	n/a	B	grid
B2	-18.343877	57.789161	-18.724273	n/a	B	grid
B3	-28.319150	57.365885	-15.223430	n/a	B	grid
B4	-39.389383	54.740354	-13.897921	n/a	B	grid
B5	-46.045247	49.690314	-8.586619	n/a	B	grid
B6	-49.256879	42.248321	-2.661472	n/a	B	grid
B7	-51.081732	32.567653	3.768187	n/a	B	grid
B8	-53.324015	23.086143	10.177611	n/a	B	grid
B9	-7.267273	48.653966	-25.512867	n/a	B	grid
B10	-16.541861	46.654244	-22.574584	n/a	B	grid
B11	-27.414700	46.426593	-19.535110	n/a	B	grid
B12	-39.032029	46.304546	-20.937410	n/a	B	grid
B13	-47.504513	44.063355	-18.582566	n/a	B	grid
B14	-50.767804	36.591673	-13.540752	n/a	B	grid
B15	-51.586323	27.102197	-5.344927	n/a	B	grid
B16	-53.322083	18.584831	-0.563064	n/a	B	grid
TP1	-15.069689	-10.360519	-26.310926	n/a	TP	strip
TP2	-18.419747	-1.960342	-32.387755	n/a	TP	strip
TP3	-21.596282	7.308866	-39.632938	n/a	TP	strip
TP4	-29.351848	13.777942	-40.809991	n/a	TP	strip
TP5	-38.401644	12.695524	-34.343556	n/a	TP	strip
TP6	-44.286629	10.631628	-26.188024	n/a	TP	strip
TP7	-49.632604	8.595310	-17.232950	n/a	TP	strip
TP8	-54.938278	4.455828	-6.295254	n/a	TP	strip
MT1	-20.596989	-12.775230	-33.753549	n/a	MT	strip
MT2	-30.485110	-17.215331	-32.504625	n/a	MT	strip
MT3	-40.719361	-21.946946	-29.070141	n/a	MT	strip
MT4	-49.813929	-27.289229	-28.692523	n/a	MT	strip
MT5	-58.090828	-32.563855	-26.826192	n/a	MT	strip
MT6	-62.194308	-37.516321	-13.169633	n/a	MT	strip
MT7	-63.456132	-41.426408	-8.481134	n/a	MT	strip
MT8	-63.871639	-44.954883	1.367561	n/a	MT	strip
PT1	-18.504545	-99.484087	-20.691066	n/a	PT	strip
PT2	-27.629954	-96.384405	-22.253037	n/a	PT	strip
PT3	-38.022270	-90.184606	-22.266725	n/a	PT	strip
PT4	-45.023969	-81.970550	-20.975960	n/a	PT	strip
PT5	-51.320951	-75.276639	-18.233964	n/a	PT	strip
PT6	-57.225680	-65.981984	-15.904212	n/a	PT	strip
PT7	-61.393025	-56.387037	-12.535525	n/a	PT	strip
PT8	-65.225431	-45.165070	-6.798345	n/a	PT	strip
O1	0.548376	-80.277239	5.980655	n/a	O	strip
O2	-0.335709	-86.493669	16.750756	n/a	O	strip
O3	-6.325981	-89.864986	23.985800	n/a	O	strip
O4	-15.738221	-89.768710	26.099726	n/a	O	strip
O5	-26.955969	-86.642968	30.251201	n/a	O	strip
O6	-36.987200	-83.879455	29.242322	n/a	O	strip
O7	-44.629907	-76.677941	31.033678	n/a	O	strip
O8	-51.609676	-67.718271	30.514996	n/a	O	strip
